NC_006088.4	1
NC_006089.4	2
NC_006090.4	3
NC_006091.4	4
NC_006092.4	5
NC_006093.4	6
NC_006094.4	7
NC_006095.4	8
NC_006096.4	9
NC_006097.4	10
NC_006098.4	11
NC_006099.4	12
NC_006100.4	13
NC_006101.4	14
NC_006102.4	15
NC_006103.4	16
NC_006104.4	17
NC_006105.4	18
NC_006106.4	19
NC_006107.4	20
NC_006108.4	21
NC_006109.4	22
NC_006110.4	23
NC_006111.4	24
NC_006112.3	25
NC_006113.4	26
NC_006114.4	27
NC_006115.4	28
NC_028739.1	30
NC_028740.1	31
NC_006119.3	32
NC_008465.3	33
NC_006126.4	W
NC_006127.4	Z
NC_008466.3	LGE64
NC_001323.1	MT	
